	absolute	absolute	absolute	absolute	absolute	per piece	per piece	per piece	per piece	per measure	per measure
	pieces	measures	length	notes	labels	measures	length	notes	labels	notes	labels
corpus
Beethoven Sonatas	64	11662	35663.38	165948	21962	182.22	557.24	2592.94	343.16	14.23	1.88
Chopin Mazurkas	55	5089	14605.25	57201	9127	92.53	265.55	1040.02	165.95	11.24	1.79
Debussy Suite	4	421	1616.0	8210	1013	105.25	404.0	2052.5	253.25	19.5	2.41
Dvořák Silhouettes	12	674	1852.5	10649	1539	56.17	154.38	887.42	128.25	15.8	2.28
Grieg Lyric Pieces	66	5414	16485.25	65774	8231	82.03	249.78	996.58	124.71	12.15	1.52
Liszt Années	19	2625	9709.25	59534	5068	138.16	511.01	3133.37	266.74	22.68	1.93
Medtner Tales	19	2464	6598.0	42929	6730	129.68	347.26	2259.42	354.21	17.42	2.73
Schumann Kinderszenen	13	392	934.0	5223	948	30.15	71.85	401.77	72.92	13.32	2.42
Tchaikovsky Seasons	12	1250	3919.5	18751	3059	104.17	326.62	1562.58	254.92	15.0	2.45
